artist,song
wu-tang clan,cream
wu-tang clan,gravel pit
wu-tang clan,triumph
wu-tang clan,bring da ruckus
wu-tang clan,protect ya neck
2pac,how do you want it
2pac,keep ya head up
2pac,I get around
2pac,dear mama
2pac,california love
krs one,mcs act like they dont know
krs one,sound of da police
krs one,step into a world raptures delight
krs one,rappaz r n dainja
krs one,a friend
the notorious big,juicy
the notorious big,big poppa
the notorious big,hypnotize
the notorious big,mo money mo problems
the notorious big,going back to cali
a tribe called quest,electric relaxation
a tribe called quest,check the rhime
a tribe called quest,award tour
a tribe called quest,scenario
a tribe called quest,buggin out
bone thugs n harmony,tha crossroads
bone thugs n harmony,1st of tha month
bone thugs n harmony,thuggish ruggish bone
bone thugs n harmony,foe tha love of
the notorious big,notorious thugs
yasiin bey,ms fat booty
yasiin bey,mathematics
yasiin bey,oh no
yasiin bey,auditorium
yasiin bey,hip hop
outkast,ms jackson
outkast,so fresh so clean
outkast,bob
outkast,southernplayalisticadillacmuzik
outkast,atliens
snoop dogg,gin and juice
snoop dogg,lodi dodi
snoop dogg,aint no fun if the homies cant have none
snoop dogg,murder was the case
dr dre,nuthin but a g thang
nas,the world is yours
nas,ny state of mind
nas,if i ruled the world imagine that
nas,nas is like
nas,hate me now
ice cube,it was a good day
ice cube,check yo self
ice cube,you know how we do it
ice cube,no vaseline
ice cube,ghetto bird
jay z,big pimpin
jay z,hard knock life ghetto anthem
jay z,izzo hova
jay z,99 problems
jay z,dirt off your shoulder
eminem,my name is
eminem,stan
eminem,the way I am
eminem,the real slim shady
eminem,guilty conscience
too short,life is too short
too short,im a player
too short,gettin it
too short,blow job betty
too short,freaky tales
dr dre,let me ride
dr dre,still dre
dr dre,forgot about dre
dr dre,the next episode
dr dre,fuck wit dre day and everybodys celebratin 